#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321AD13B9
#Date Time: 2020-10-18 16:27:36.780
#Start: 100 Hz
#Stop: 2.12876e+06 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.48719 V
#Offset: -9.66819e-06 V
#Relative: no
#Channel: Channel 2
#Range: 5.61438 V
#Offset: -0.000239504 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
253976.6156619876,0.04049354031692932,-30.23974372128932,-86.37737982957503
271423.7934300431,0.03704505691827987,-30.82457990406019,-86.24933706872385
290069.5225343179,0.02802116825175012,-31.43452493947592,-86.3114648234498
309996.1386582471,0.0183073108424087,-32.00451894738093,-86.41706088922845
331291.6336174342,0.01457797143847622,-32.58273499100921,-86.55179453550289
354050.0439133074,0.009182794935936874,-33.21885970400366,-86.22032522865888
378371.8659788648,0.001232413949667335,-33.76394801721541,-86.36140741020068
404364.4999501354,-0.004659083557553173,-34.33928570122737,-86.26447054092381
432142.7239229683,-0.01753640265828146,-34.9875976188889,-86.2790653576007
461829.2007893668,-0.02027688422097323,-35.60207052397599,-86.25246835833477
493555.0198914483,-0.03396560143734349,-36.16031986055884,-86.38933912569206
527460.2758848682,-0.0358730585624675,-36.76879425841612,-86.15033375271997
563694.6873678474,-0.04269618632281009,-37.35727929356123,-85.8609761049629
602418.2580075327,-0.0516167480411675,-37.95648933769164,-85.80475063199968
643801.9830831041,-0.05882825780696942,-38.56802059351255,-85.68795959700674
688028.6045655588,-0.068144732708299,-39.2065008154992,-85.45870188927415
735293.4180684617,-0.07078371865540216,-39.74602037922748,-85.06930819261891
785805.1352329868,-0.08161975566117236,-40.40557524149466,-85.362610271672
839786.8053553539,-0.0850828768850295,-41.04925527460961,-84.64781554278812
897476.8003263958,-0.1069293589649547,-41.71020882226919,-84.25584694842161
959129.867232523,-0.1096282878820209,-42.34669789662335,-84.75829685315028
1025018.253266173,-0.1113591812088439,-43.04810972380526,-84.38373328247502
1095432.90791311,-0.1198409829273285,-43.78508569588222,-83.49868271336737
1170684.767725172,-0.1284254037510261,-44.40283878763437,-83.21434440128255
1251106.129351784,-0.1582483951994377,-45.10052774135296,-83.63160735227888
1337052.116893233,-0.1623578157645345,-45.94843015878919,-82.41585211468259
1428902.250055245,-0.1641459582410709,-46.61292374941599,-82.15896126458465
1527062.120029525,-0.1779772925023687,-47.52225167743887,-81.15288541492775
1631965.180500562,-0.1966080536255063,-48.17098354892182,-80.82554472467379
1744074.66168746,-0.2135396585892474,-49.29690618290028,-79.33854950654164
1863885.615872786,-0.2373604065316058,-50.21308927111235,-79.0701930890168
1991927.103451049,-0.2610861762442496,-51.1261799334597,-78.35432222206515
2128764.52915,-0.2903255769170653,-52.22299379519144,-76.85308992941196
